"Story","Title","Result","Date","Stability","Duration (s)"
"Technical project","registration in the system","ERROR","2022-10-15T17:31:47.7378651-05:00[America/Bogota]","0.0","0.74"
"Technical project","registration in the system for alvaro","SUCCESS","2022-10-15T20:32:51.0568758-05:00[America/Bogota]","0.0","24.1"
